Country,UnemplWB2016,MonopolyForce,SVS2014,RegimeTypes2017,PrivPR2016,SocialSafetyNets,YouthRiskFactor2010,MeanYrsSchooling2015,LifeExpect2016,DscrmViolMin2016,GovFrameGE2015,GDP2017,Latitude,Longitude,Population,country,iso3c
Solomon Islands,2.04399991,,3,4,30,,0.512370527,5.3,69.24205,,0,2156.61,-9.64571,160.156194,599419,Solomon Islands,SLB
Somalia,6.024000168,1,5,1,,1,,,55.04342,,3,,5.152149,46.199616,14317996,Somalia,SOM
South Africa,26.54999924,7,5,4,50,6,0.597365081,10.3,62.86359,5.5,3,13544.60,-30.559482,22.937506,56015473,South Africa,ZAF
South Korea,3.710000038,10,3,4,70,8,0.265471548,12.2,82.28375,3.4,4,39433.78,35.907757,127.766922,51245707,"Korea, Rep.",KOR
South Sudan,11.54199982,5,5,,,2,,4.8,57.34901,,4,1489.08,6.877,31.307,12230730,South Sudan,SSD
Spain,19.62999916,,3,4,70,,0.206805021,9.8,82.83099,5.8,2,38285.97,40.463667,-3.74922,46484062,Spain,ESP
Sri Lanka,4.369999886,9,4,1,40,6,0.386784196,10.9,74.9315,9.3,3,12810.95,7.873054,80.771797,21203000,Sri Lanka,LKA
Sudan,12.81499958,3,5,,,1,0.647476137,3.5,64.14367,9.7,7,4586.00,12.862807,30.217636,39578828,Sudan,SDN
Suriname,8.175000191,,3,4,30,,0.479769468,8.3,71.55891,5.8,3,14606.49,3.919305,-56.027783,558368,Suriname,SUR
Swaziland,26.34799957,,3,1,40,,0.739053965,6.8,58.91902,3.7,3,9884.38,-26.522503,31.465866,,,SWZ
Sweden,6.989999771,,2,4,90,,0.246825412,12.3,82.38259,1.3,0,51474.80,60.128161,18.643501,9923085,Sweden,SWE
Switzerland,4.920000076,,2,4,90,,0.209373623,13.4,83.36284,3.6,2,61421.82,46.818188,8.227512,8373338,Switzerland,CHE
Syria,14.98799992,2,5,1,10,2,0.878529847,5.1,64.52326,,6,,34.802075,38.996815,18430453,Syrian Arab Republic,SYR
Taiwan,,10,2,4,70,9,,,,,4,50293.54,23.69781,120.960515,,,TWN
Tajikistan,10.3039999,7,3,1,20,3,0.580568731,10.4,69.73636,7.3,3,3211.98,38.861034,71.276093,8734951,Tajikistan,TJK
Tanzania,2.167999983,7,4,4,25,4,0.405726314,5.8,61.83336,5.7,3,3240.40,-6.369028,34.888822,55572201,Tanzania,TZA
Thailand,0.936999977,6,5,1,40,6,0.25563103,7.9,74.88333,8.5,2,17855.76,15.870032,100.992541,68863514,Thailand,THA
Togo,1.842000008,8,2,1,30,3,0.463731736,4.7,59.8634,4.5,3,1659.25,8.619543,0.824782,7606374,Togo,TGO
Trinidad/Tobago,4.373000145,,3,4,50,,0.287494361,10.9,71.19376,4.1,4,31367.03,10.691803,-61.222503,1364962,Trinidad and Tobago,TTO
Tunisia,15.51000023,7,3,1,40,6,0.501916528,7.1,75.32,7.8,4,11755.35,33.886917,9.537499,11403248,Tunisia,TUN
Turkey,10.84000015,8,3,4,40,6,0.514739811,7.9,75.7506,9,3,26892.87,38.963745,35.243322,79512426,Turkey,TUR
Turkmenistan,3.479000092,9,2,1,5,4,0.506635189,9.9,66.25625,7.1,1,18125.68,38.969719,59.556278,5662544,Turkmenistan,TKM
Uganda,2.00999999,8,4,1,25,4,0.520464122,5.7,62.30742,8.7,3,2353.70,1.373333,32.290275,41487965,Uganda,UGA
Ukraine,9.350000381,9,5,4,25,6,0.273612887,11.3,71.29272,7,0,8712.98,48.379433,31.16558,45004645,Ukraine,UKR
United Arab Emirates,1.639999986,9,2,1,55,9,0.14382641,9.5,77.06816,3.9,4,67740.86,23.424076,53.847818,9269612,United Arab Emirates,ARE
United Kingdom,4.809999943,,3,4,90,,0.261293769,13.3,81.2201,5.6,2,44117.73,55.378051,-3.435973,65595565,United Kingdom,GBR
United States,4.869999886,,,4,80,,0.27402994,13.2,79.27828,5,5,59501.11,37.09024,-95.712891,323405935,United States,USA
Uruguay,7.840000153,10,2,4,70,9,0.304834843,8.6,76.99158,3,1,22371.32,-32.522779,-55.765835,3444006,Uruguay,URY
Uzbekistan,7.513999939,7,2,1,15,4,0.514635086,12,69.40211,7.6,3,6928.91,41.377491,64.585262,31847900,Uzbekistan,UZB
Vanuatu,5.267000198,,1,4,40,,,6.8,72.00036,,1,2739.40,-15.376706,166.959158,270402,Vanuatu,VUT
Venezuela,7.861999989,6,3,1,5,6,0.380441338,9.4,74.09181,7.3,3,12113.54,6.42375,-66.58973,31568179,"Venezuela, RB",VEN
Vietnam,2.099999905,10,4,1,15,6,0.346672028,8,76.01772,6.5,2,6913.13,14.058324,108.277199,94569072,Vietnam,VNM
Yemen,13.48999977,4,5,1,30,2,0.771792471,3,65.72716,9.4,4,1287.48,15.552727,48.516388,27584213,"Yemen, Rep.",YEM
Zambia,7.77699995,9,4,2,30,4,0.492301315,6.9,61.79706,5.7,2,3996.14,-13.133897,27.849332,16591390,Zambia,ZMB
Zimbabwe,5.179999828,8,4,1,10,3,0.375119209,7.7,60.65918,7.8,3,2282.65,-19.015438,29.154857,16150362,Zimbabwe,ZWE
